-0.7333 -0.9250 -39.6637 0.3966 18.9321 0.1893
-0.7167 -0.9250 -79.4481 0.7945 48.2093 0.4821
-0.7000 -0.9250 -87.1568 0.8716 31.8495 0.3185
-0.6833 -0.9250 -18.2293 0.1823 4.2518 0.0425
-0.6667 -0.9250 9.3144 0.0931 1.9310 0.0193
-0.6500 -0.9250 41.5669 0.4157 3.6256 0.0363
-0.6333 -0.9250 3.7464 0.0375 4.6323 0.0463
-0.6167 -0.9250 -12.7590 0.1276 8.4358 0.0844
-0.6000 -0.9250 94.1564 0.9416 6.4090 0.0641
-0.5833 -0.9250 63.4242 0.6342 10.8837 0.1088
-0.5667 -0.9250 129.5185 1.2952 23.2410 0.2324
-0.5500 -0.9250 157.9105 1.5791 45.6351 0.4564
-0.5333 -0.9250 207.6493 2.0765 39.9487 0.3995
-0.5167 -0.9250 279.9699 2.7997 12.6047 0.1260
-0.5000 -0.9250 282.8471 2.8285 9.0798 0.0908
-0.4833 -0.9250 235.4156 2.3542 7.3294 0.0733
-0.4667 -0.9250 236.1855 2.3619 66.3897 0.6639
-0.4500 -0.9250 243.8769 2.4388 61.6974 0.6170
-0.4333 -0.9250 235.8864 2.3589 68.1443 0.6814
-0.4167 -0.9250 143.0076 1.4301 27.4752 0.2748
-0.4000 -0.9250 74.1398 0.7414 9.1507 0.0915
-0.3500 -0.9250 158.2735 1.5827 1.7257 0.0173
-0.3333 -0.9250 62.4310 0.6243 10.6169 0.1062
-0.3167 -0.9250 154.1293 1.5413 25.1300 0.2513
-0.3000 -0.9250 212.3654 2.1237 38.9073 0.3891
-0.2833 -0.9250 217.0538 2.1705 27.0558 0.2706
-0.2667 -0.9250 278.6181 2.7862 2.5426 0.0254
-0.2500 -0.9250 145.9509 1.4595 1.1249 0.0112
-0.2333 -0.9250 184.9199 1.8492 1.1481 0.0115
-0.2167 -0.9250 160.8181 1.6082 4.6114 0.0461
-0.2000 -0.9250 119.7389 1.1974 19.8438 0.1984
-0.1833 -0.9250 158.9744 1.5897 40.4742 0.4047
-0.1667 -0.9250 61.3147 0.6131 30.0694 0.3007
-0.1500 -0.9250 70.5619 0.7056 27.3514 0.2735
-0.1333 -0.9250 145.8152 1.4582 27.8115 0.2781
-0.1167 -0.9250 107.8985 1.0790 37.0697 0.3707
-0.1000 -0.9250 88.5270 0.8853 22.3485 0.2235
-0.0667 -0.9250 102.6232 1.0262 3.2575 0.0326
0.0000 -0.9250 140.8734 1.4087 42.6297 0.4263
0.0667 -0.9250 93.5657 0.9357 16.3549 0.1635
0.1167 -0.9250 156.1014 1.5610 2.5667 0.0257
0.1333 -0.9250 197.1991 1.9720 40.1913 0.4019
0.1500 -0.9250 156.3197 1.5632 50.8753 0.5088
0.2000 -0.9250 120.0248 1.2002 81.8896 0.8189
0.2667 -0.9250 224.4705 2.2447 33.6769 0.3368
0.2833 -0.9250 226.4633 2.2646 50.0859 0.5009
0.3333 -0.9250 208.8891 2.0889 16.3791 0.1638
